Military cable,30000,28520,28124,Therapist,25956,₽
Health Resort management warehouse safe key,40000,63493,72648,Therapist,12098,₽
Bundle of wires,12500,10663,10808,Therapist,4662,₽
Store safe key,6000,9595,9426,Therapist,1953,₽
Bottle of saline solution,15000,15555,14687,Therapist,5360,₽
OFZ 30x160mm shell,35555,39293,37958,Therapist,35280,₽
Gas station safe key,16000,18159,22237,Therapist,3276,₽
Cottage back door key,434999,395473,426921,Therapist,33466,₽
Dorm room 308 key,63500,62568,57034,Therapist,2205,₽
"Gunpowder ""Hawk""",26500,27266,26477,Therapist,22050,₽
Cottage safe key,70000,140766,168187,Therapist,13955,₽
SMW car key,7499,7837,7216,Therapist,5315,₽
Toilet paper,7777,6561,6196,Therapist,5544,₽
DVD drive,7999,10953,10597,Therapist,5226,₽
Health Resort west wing room 321 safe key,42000,46905,49366,Therapist,11529,₽
Ops-Core FAST multi-hit ballistic face shield,122222,111370,111370,Ragman,16517,₽
Electric motor,62222,64972,68453,Therapist,27090,₽
Health Resort west wing room 207 key,8999,9001,12392,Therapist,4724,₽
Water filter,35000,43211,36702,Therapist,15435,₽
Pack of sodium bicarbonate,15000,19812,20699,Therapist,6426,₽
GP coin,28099,33627,31650,Therapist,22554,₽
Crickent lighter,8990,8181,7265,Therapist,832,₽
Propital regenerative stimulant injector,20996,18174,18574,Therapist,13268,₽
Disposable syringe,26000,24059,25970,Therapist,1890,₽
Military circuit board,40000,34756,36712,Therapist,25200,₽
Round pliers,17000,16890,16704,Therapist,17010,₽
Military power filter,63999,86237,78866,Therapist,34650,₽
Pressure gauge,46500,48154,45636,Therapist,38556,₽
Analog thermometer,28800,28953,28800,Therapist,28728,₽
Valday PS-320 1/6x scope,58887,49643,52405,Mechanic,21347,₽
TT 7.62x25 makeshift sound suppressor,8799,8464,8559,Mechanic,8346,₽
VSS 9x39 integral barrel-suppressor,23998,25425,26943,Mechanic,12604,₽
AAC 762-SDN-6 multi-caliber sound suppressor,40000,46630,47070,Mechanic,37702,₽
SilencerCo Salvo 12 12ga sound suppressor,50000,47663,48664,Mechanic,19964,₽
SV-98 7.62x54R sound suppressor,39000,35500,35967,Mechanic,20576,₽
SIG Sauer SRD9 9x19 sound suppressor,25111,25291,24849,Mechanic,16016,₽
AAC Illusion 9 9x19 sound suppressor,19399,19314,19381,Mechanic,18446,₽
ASh-12 12.7x55 sound suppressor,20999,20185,20181,Mechanic,20098,₽
FN P90 Attenuator 5.7x28 sound suppressor,38900,43342,44225,Mechanic,35532,₽
Daniel Defense WAVE QD sound suppressor,42000,47078,49215,Mechanic,28560,₽
Gemtech SFN-57 5.7x28 sound suppressor,24444,22624,23290,Mechanic,21246,₽
MP9 9x19 sound suppressor,99999,72361,72361,Mechanic,14224,₽
KAC PRS/QDC 7.62x51 sound suppressor,244444,323754,317491,Mechanic,24360,₽
Rotor 43 7.62x54R muzzle brake-compensator,53200,51694,51104,Mechanic,25872,₽
AK-74 TGP-A 5.45x39 sound suppressor,39500,37264,35292,Mechanic,23458,₽
Rotor 43 5.56x45 muzzle brake-compensator,35533,37695,39641,Mechanic,24060,₽
KAC QDSS NT-4 5.56x45 sound suppressor (Black),28800,28583,28536,Mechanic,26719,₽
"PP-91-01 ""Kedr-B"" 9x18PM sound suppressor",10000,9999,10084,Mechanic,8221,₽
Alpha Dog Alpha 9 9x19 sound suppressor,20420,19956,20285,Mechanic,20529,₽
AK-74 Hexagon 5.45x39 sound suppressor,39000,33548,33356,Mechanic,22048,₽
HK MP7 B&T Rotex 2 4.6x30 sound suppressor,115000,132517,134601,Mechanic,29562,₽
AKS-74U PBS-4 5.45x39 sound suppressor,22222,24276,24341,Mechanic,18475,₽
Rotor 43 7.62x39 muzzle brake-compensator,27999,28489,28160,Mechanic,24696,₽
AKM PBS-1 7.62x39 sound suppressor,32000,30743,31285,Mechanic,26979,₽
PB 9x18PM sound suppressor,4000,4302,4716,Mechanic,5449,₽
Monstrum Tactical Compact Prism Scope 2x32,37777,38320,39002,Mechanic,20720,₽
